region,year,category,mode,powertrain,ev_sales,ev_sales_yoy_growth,ev_stock,ev_stock_yoy_growth,total_stations,total_stations_yoy_growth
Finland,2018,Historical,Buses,EV,,,,,,
Finland,2019,Historical,Buses,EV,,,,,,
Finland,2020,Historical,Buses,EV,,,,,,
Finland,2021,Historical,Buses,EV,,,,,,
Finland,2022,Historical,Buses,EV,,,,,,
Finland,2023,Historical,Buses,EV,,,,,,
Finland,2011,Historical,Cars,EV,,,,,,
Finland,2012,Historical,Cars,EV,,,,,,
Finland,2013,Historical,Cars,EV,,,,,,
Finland,2014,Historical,Cars,EV,,,,,,
Finland,2015,Historical,Cars,EV,,,,,,
Finland,2016,Historical,Cars,EV,,,,,,
Finland,2017,Historical,Cars,EV,,,,,,
Finland,2018,Historical,Cars,EV,,,,,,
Finland,2019,Historical,Cars,EV,,,,,,
Finland,2020,Historical,Cars,EV,,,,,,
Finland,2021,Historical,Cars,EV,,,,,,
Finland,2022,Historical,Cars,EV,,,,,,
Finland,2023,Historical,Cars,EV,,,,,,
Finland,2017,Historical,Trucks,EV,,,,,,
Finland,2019,Historical,Trucks,EV,,,,,,
Finland,2020,Historical,Trucks,EV,,,,,,
Finland,2021,Historical,Trucks,EV,,,,,,
Finland,2022,Historical,Trucks,EV,,,,,,
Finland,2023,Historical,Trucks,EV,,,,,,
Finland,2017,Historical,Vans,EV,,,,,,
Finland,2018,Historical,Vans,EV,,,,,,
Finland,2019,Historical,Vans,EV,,,,,,
Finland,2020,Historical,Vans,EV,,,,,,
Finland,2021,Historical,Vans,EV,,,,,,
Finland,2022,Historical,Vans,EV,,,,,,
Finland,2023,Historical,Vans,EV,,,,,,
France,2010,Historical,Buses,EV,,,,,,
France,2011,Historical,Buses,EV,,,,,,
France,2012,Historical,Buses,EV,,,,,,
France,2013,Historical,Buses,EV,,,,,,
France,2014,Historical,Buses,EV,,,,,,
France,2015,Historical,Buses,EV,,,,,,
France,2016,Historical,Buses,EV,,,,,,
France,2017,Historical,Buses,EV,,,,,,
France,2018,Historical,Buses,EV,,,,,,
France,2019,Historical,Buses,EV,,,,,,
France,2020,Historical,Buses,EV,,,,,,
France,2021,Historical,Buses,EV,,,,,,
France,2022,Historical,Buses,EV,,,,,,
France,2023,Historical,Buses,EV,,,,,,
France,2010,Historical,Cars,EV,,,,,,
France,2011,Historical,Cars,EV,,,,,,
France,2012,Historical,Cars,EV,,,,,,
France,2013,Historical,Cars,EV,,,,,,
France,2014,Historical,Cars,EV,,,,,,
France,2015,Historical,Cars,EV,,,,,,
France,2016,Historical,Cars,EV,,,,,,
France,2017,Historical,Cars,EV,,,,,,
France,2018,Historical,Cars,EV,,,,,,
France,2019,Historical,Cars,EV,,,,,,
France,2020,Historical,Cars,EV,,,,,,
France,2021,Historical,Cars,EV,,,,,,
France,2022,Historical,Cars,EV,,,,,,
France,2023,Historical,Cars,EV,,,,,,
France,2010,Historical,Trucks,EV,,,,,,
France,2011,Historical,Trucks,EV,,,,,,
France,2012,Historical,Trucks,EV,,,,,,
France,2013,Historical,Trucks,EV,,,,,,
France,2014,Historical,Trucks,EV,,,,,,
France,2015,Historical,Trucks,EV,,,,,,
France,2016,Historical,Trucks,EV,,,,,,
